text,date,score,Month
The Australian people want the truth.  𝕏 is the only one standing up for their rights.,2024-04,0,4
Wow,2024-04,0,4
You are right!,2024-04,0,4
,2024-04,0,4
"the reason why progressive policies are bad is simple:  - if you want more people to do something, make it easier  - if you want less people to do something, make it more difficult  thus, progressive policies incentivize illegal immigration, homelessness, and crime by design",2024-04,0,4
How to sleep on the international space station.,2024-04,1,4
"Tesla has now created over 30,000 manufacturing jobs in California!",2024-04,0,4
Yikes,2024-04,0,4
Yeah,2024-04,0,4
Model 3 is quicker than a Porsche 911,2024-04,0,4
"In the last month, people on X have spent a lot of time watching video – to the tune of 385 million hours! That’s 1.4 trillion seconds, 23 billion minutes, or 16 million days worth of video.  Let’s watch what happens when you can stream the world in real-time on X TV!",2024-04,1,4
Here is the FULL interview with Swedish author @johanknorberg on:  Why Sweden is NOT a “socialist paradise.”  The fake loneliness epidemic.  The crazy push for degrowth.  Why capitalism makes people LESS racist.,2024-04,0,4
Morgan Freeman is awesome,2024-04,0,4
"𝕏 is growing 🔥  • 𝕏 has seen a 63% increase in brand likes, 20% increase in brand re-posts and a 14% increase in brand impressions within the last six months  • Over the past month, users have watched 385 million hours of video, which is equivalent to 1.4 trillion seconds, 23 billion minutes, or 16 million days  • 𝕏 has seen a 55% average increase in mobile daily sign-ups within the last six months  • Video views on 𝕏 are growing at an average rate of 35% year over year  • Average time spent on video has increased by 17%  • Around 10 billion monthly site visits on 𝕏",2024-04,0,4
Coming soon to a television near you: X TV 👀,2024-04,0,4
,2024-04,0,4
Starship = Hope,2024-04,0,4
"One year since first flight test of Starship.   Each successive launch has gone farther, and with more flights coming soon, we're rapidly building towards a fully reusable future",2024-04,1,4
"The eSafety Commissioner of Australia demanded that 𝕏 globally withhold certain posts or face a daily fine of $500,000  𝕏 is fighting back against these global censorship orders. It's time to support this platform by subscribing to 𝕏 Premium.",2024-04,0,4
That is exactly the issue.   Should the eSafety Commissar (an unelected official) in Australia have authority over all countries on Earth?,2024-04,0,4
Major milestone,2024-04,0,4
"The notification tab is currently in chronological order only.   We’re working on a ranking option there, like For you vs Following.",2024-04,0,4
,2024-04,0,4
